,situacao-habitacional,distrito,concelho,area-util,tipo-casa,tipologia,ano_nascimento_interval,nacionalidade_pt,rendimento-anual,num-pessoas-nao-dependentes,num-pessoas-dependentes,situacao-profissional,educacao,satisfacao,percentagem-renda-paga,valor-mensal-renda,ano-inicio-arrendamento,rendimento-arrendamento,estrategia-arrendamento,insatisfacao-motivos,valor-compra,ano-compra,estado-conservacao,estrategia-compra,rendimento-liquido-anual-individual-na-compra,rendimento-liquido-anual-conjunto-na-compra,ano-heranca-aquisicao,rendimento-liquido-anual-individual-na-aquisicao,rendimento-heranca-conjunto,estado-conservacao-heranca
0,['arrendo'],bragança,bragança,101-200,['moradia'],['T4+'],"[1995, 2000)",nao_portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],25,500.0,2000.0,sem-rendimento,['apoio-social'],"['financeiramente-dependente', 'vivo-longe-de-transportes']",,,,,,,,,,
1,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T1'],"[1990, 1995)",nao_portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],100,850.0,2023.0,20001-35000,['sem-ajuda'],['pago-demasiado'],,,,,,,,,,
2,['comprei'],setúbal,almada,101-200,['apartamento'],['T3'],"[1980, 1985)",portuguesa,20001-35000,1,2,['empregado-tempo-inteiro'],doutoramento,['muito-satisfeito'],,,,,,,255000.0,2018.0,raiz,['emprestimo'],20001-35000,,,,,
3,['outrem'],lisboa,lisboa,101-200,['apartamento'],['T3'],"[1995, 2000)",portuguesa,12001-20000,1,0,['estudante-tempo-integral'],mestrado,['satisfeito'],,,,,,"['outro', 'vivo-longe-de-transportes']",,,,,,,,,,
4,['outrem'],porto,matosinhos,201-400,['apartamento'],['T3'],"[1995, 2000)",portuguesa,20001-35000,3,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
5,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],50,500.0,2021.0,12001-20000,['sem-ajuda'],['habitacao-mau-estado'],,,,,,,,,,
6,['outrem'],viseu,viseu,>400,['moradia'],['T4+'],"[1995, 2000)",portuguesa,7001-12000,3,0,['contrato-temporario'],mestrado,['satisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
7,['outrem'],porto,porto,201-400,['apartamento'],['T4+'],"[2000, 2005)",portuguesa,7001-12000,2,1,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,,,,,,,,,,
8,['arrendo'],porto,valongo,41-60,['apartamento'],['T1'],"[1990, 1995)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],100,475.0,2024.0,20001-35000,['sem-ajuda'],['outro'],,,,,,,,,,
9,['comprei'],lisboa,oeiras,81-100,['apartamento'],['T2'],"[1970, 1975)",portuguesa,35001-50000,1,1,"['empregado-tempo-inteiro', 'independente']",licenciatura,['satisfeito'],,,,,,['vivo-longe'],160000.0,2001.0,bom,"['emprestimo', 'conjunto']",12001-20000,20001-35000,,,,
10,['arrendo'],porto,porto,41-60,['moradia'],['T1'],"[1995, 2000)",portuguesa,12001-20000,0,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],100,300.0,2022.0,20001-35000,"['outra', 'sem-ajuda']",['falta-espaco'],,,,,,,,,,
